FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
CUB,264,67.14459,65.18029122,1.00E-05,6,302.8,91.370268,34.17285328,0,-2.9,173.3888138,-0.002934955,13.31545364,0,-18.10324028,0.127564005,10.72645432,0.95539,132,0.05025,11.36886823,0,13.15334251,5.17E-06,8.03E-21,3.95E-26,17.8
AZE,317,100.48555,95.15209452,0.00652,15,313.5,150.388072,55.31246768,0.00011,1.9,28.78938196,0.043126853,23.38651795,0.11037,19.68930576,0.1657406,14.53948281,0.09033,34.5,-2.155775,34.72632973,0.14438,3.921881441,0.006588242,0.000539424,0.019378087,18.8
GEO,167,47.23041,71.24548801,0.01115,1,157.4,71.726274,38.04613854,0.00774,4.7,10.61731577,-0.004870791,25.46667546,0.33874,-17.04897946,0.157007584,13.98977189,0.89084,-13,0.27123,33.63153021,0.61575,4.793205037,0.011317998,0.011837667,0.141009129,27.3
MEX,357,100.81554,81.91961776,0,19,339.2,108.712137,36.43946982,0,3,216.6246106,-0.035655187,16.46153456,0,32.53634955,0.103605023,10.16481591,0.00067,243.5,0.601775,24.29256016,0,9.733801475,3.35E-10,5.56E-22,2.65E-33,16.4
MAS,312,131.42555,126.7658258,0.01236,-11,296.4,136.228149,48.04708801,3.00E-05,0.285714286,167.6345298,-0.080852239,19.23465566,0,47.89149675,0.167887715,11.59470175,2.00E-05,182,-0.85577,24.58765804,0,7.099108454,0.012486843,0.000663087,3.35E-11,17.2
ECU,128,63.79674,89.15157826,0.19666,11,212.3,79.855654,35.91090981,4.00E-05,5.333333333,132.0230758,-0.032737801,20.42148489,0,34.43833789,0.116359205,11.45762048,0.00159,124,-1.39413,25.59591601,0,4.27948092,0.196087843,1.55E-05,6.19E-08,23.7
VEN,409,157.56819,119.1411224,4.00E-05,-12,321,138.397162,44.61261179,0,2.1,92.83162975,-0.0994229,19.22130851,0,19.89900587,0.121621464,10.97634724,0.03519,90,-0.66689,23.92698775,5.00E-05,10.11765239,4.93E-05,6.80E-06,0.000422035,13.2
VIE,347,52.09932,146.5426832,9.00E-05,-4,253.9,49.361938,57.72786639,0,-0.4,65.58276274,0.030688239,25.91934312,0.0057,31.52432405,0.045375025,14.84172319,0.0164,11.5,1.01644,43.05146321,0.36595,0.463177201,0.000106272,2.99E-06,0.000556117,37.7
BUL,261,167.72035,142.4535991,0.10053,4,248.4,116.203981,36.75686167,3.00E-05,9.3,132.9660752,-0.049126021,25.50706142,0,26.12496523,0.17920447,13.21077022,0.02533,138.5,0.49549,29.62816168,8.00E-05,12.16069586,0.100813066,9.86E-06,3.01E-08,14.1
CRO,305,113.83625,72.21576736,0.00187,2,351.5,193.541658,41.27636187,0,3.9,188.364644,-0.055891158,18.91378251,0,-29.73117081,0.30867294,12.82288316,0.99048,195.5,-1.589905,19.98763579,0,18.890936,0.001643167,5.95E-07,0.000117228,7.8
NED,388,189.48695,100.3247757,0.00245,-3,347.8,223.361664,41.18200357,0.00045,0.1,161.2320068,-0.110899902,17.13052497,0,-50.28335934,0.273676773,12.74781781,0.99996,147,-0.101325,20.17720139,0,16.15472092,0.002149313,0.000394828,3.27E-05,5.8
ENG,287,138.48365,98.36788619,0.05145,7,346.2,238.808661,45.78306388,0.00312,2.1,175.4821618,-0.013285959,20.050482,0,-26.13042575,0.221650368,12.90739053,0.97946,233.5,0.19071,26.30812288,0,15.75734819,0.052924636,1.82E-06,5.80E-07,6.7
SVK,251,124.40065,75.87682195,0.05529,-4,272.1,209.772617,41.12233818,0.06117,1.6,126.0265095,-0.141673994,18.75307764,0,-44.6118617,0.150321786,11.85604939,0.99992,137,0.064805,24.08950223,0,19.70083742,0.05529486,0.157834343,0.091182841,6.2
BOL,289,123.22376,119.145953,0.00182,NA,252.1,86.322532,37.13749455,0,3.166666667,185.9428227,-0.130777887,24.65019353,0,70.52299167,0.120895165,13.53722921,0,191.5,-1.06655,39.15970047,0,6.764859792,0.001607082,1.71E-07,1.72E-12,19.7
