juniors,inactives,floor,fed,K,raw_pval,pval,adj_pval
FALSE,FALSE,1400,USA,1,0.21962586242534388,0.43925172485068775,0.6058644480699141
FALSE,FALSE,1400,USA,10,0.7942690737487726,0.4114618525024547,0.5878026464320781
FALSE,FALSE,1400,VIE,1,0.004476014314254262,0.008952028628508524,0.05444556052357225
FALSE,FALSE,1400,VIE,10,0.05884705681477953,0.11769411362955906,0.3621357342447971
FALSE,FALSE,1600,ARG,1,0.17540473217853925,0.3508094643570785,0.5234301061170523
FALSE,FALSE,1600,ARG,10,0.7765197807106451,0.4469604385787098,0.6898462550751983
FALSE,FALSE,1600,AUT,1,0.14658677913697382,0.29317355827394764,0.48862259712324607
FALSE,FALSE,1600,AUT,10,0.29107999878961244,0.5821599975792249,0.7115449708228755
FALSE,FALSE,1600,BRA,1,0.04844700116672407,0.09689400233344814,0.2227616893856908
FALSE,FALSE,1600,BRA,10,0.002476816537222759,0.004953633074445518,0.031393656953175864
FALSE,FALSE,1600,CHN,1,0.051977727523327855,0.10395545504665571,0.2227616893856908
FALSE,FALSE,1600,CHN,10,0.0011161125182513887,0.0022322250365027774,0.031393656953175864
FALSE,FALSE,1600,COL,1,0.007801954750117357,0.015603909500234714,0.07628767267239656
FALSE,FALSE,1600,COL,10,0.11759944786702659,0.23519889573405317,0.47039779146810634
FALSE,FALSE,1600,CRO,1,0.014009572178801055,0.02801914435760211,0.0933971478586737
FALSE,FALSE,1600,CRO,10,0.26444106444549265,0.5288821288909853,0.6898462550751983
FALSE,FALSE,1600,CUB,1,0.002976586553697813,0.005953173107395626,0.07552726013409672
FALSE,FALSE,1600,CUB,10,0.0020117512338237997,0.0040235024676475994,0.031393656953175864
FALSE,FALSE,1600,CZE,1,0.017630835452916438,0.035261670905832876,0.0961681933795442
FALSE,FALSE,1600,CZE,10,0.47429781630706913,0.9485956326141383,0.9485956326141383
FALSE,FALSE,1600,ENG,1,0.37208564198206484,0.7441712839641297,0.8405617088520763
FALSE,FALSE,1600,ENG,10,0.38900054947491436,0.7780010989498287,0.8976935757113408
FALSE,FALSE,1600,ESP,1,0.21537340107975111,0.43074680215950223,0.5618436549906551
FALSE,FALSE,1600,ESP,10,0.18472318252780173,0.36944636505560347,0.6157439417593391
FALSE,FALSE,1600,FRA,1,0.16934052819409218,0.33868105638818435,0.5234301061170523
FALSE,FALSE,1600,FRA,10,0.24416002422340422,0.48832004844680843,0.6898462550751983
FALSE,FALSE,1600,GEO,1,0.015814205822503702,0.031628411645007404,0.09488523493502221
FALSE,FALSE,1600,GEO,10,0.06342771748074127,0.12685543496148255,0.3171385874037064
FALSE,FALSE,1600,GER,1,0.08644436807620537,0.17288873615241074,0.32416638028577016
FALSE,FALSE,1600,GER,10,0.003010505624565285,0.00602101124913057,0.031393656953175864
FALSE,FALSE,1600,GRE,1,0.010171689689652874,0.020343379379305748,0.07628767267239656
FALSE,FALSE,1600,GRE,10,0.020002236625733416,0.04000447325146683,0.13970199928675062
FALSE,FALSE,1600,HUN,1,0.13638216429690753,0.27276432859381505,0.48134881516555594
FALSE,FALSE,1600,HUN,10,0.5277149972465948,0.9445700055068105,0.9485956326141383
FALSE,FALSE,1600,IND,1,0.35487422843852756,0.7097484568770551,0.8405617088520763
FALSE,FALSE,1600,IND,10,0.7648411309259198,0.47031773814816047,0.6898462550751983
FALSE,FALSE,1600,ITA,1,0.6217472310165657,0.7565055379668686,0.8405617088520763
FALSE,FALSE,1600,ITA,10,0.5959903670613603,0.8080192658772793,0.8977991843080882
FALSE,FALSE,1600,KAZ,1,0.5923635081114942,0.8152729837770116,0.8735067683325124
FALSE,FALSE,1600,KAZ,10,0.5263554276329638,0.9472891447340723,0.9485956326141383
FALSE,FALSE,1600,LAT,1,0.00892474519651476,0.01784949039302952,0.07628767267239656
FALSE,FALSE,1600,LAT,10,0.11570413957395842,0.23140827914791684,0.47039779146810634
FALSE,FALSE,1600,MEX,1,0.010078285650025776,0.02015657130005155,0.07628767267239656
FALSE,FALSE,1600,MEX,10,0.0031393656953175864,0.006278731390635173,0.031393656953175864
FALSE,FALSE,1600,NED,1,0.1832005371409683,0.3664010742819366,0.5234301061170523
FALSE,FALSE,1600,NED,10,0.9220117804440235,0.1559764391119529,0.35994562871989133
FALSE,FALSE,1600,POL,1,0.005035150675606448,0.010070301351212896,0.07552726013409672
FALSE,FALSE,1600,POL,10,0.039093941879442706,0.07818788375888541,0.23456365127665624
FALSE,FALSE,1600,ROU,1,0.20290448100605174,0.4058089620121035,0.553375857289232
FALSE,FALSE,1600,ROU,10,0.7443445017660053,0.5113109964679894,0.6898462550751983
FALSE,FALSE,1600,RUS,1,0.0036976027793536037,0.007395205558707207,0.07552726013409672
FALSE,FALSE,1600,RUS,10,0.004264986008567617,0.008529972017135234,0.03655702293057957
FALSE,FALSE,1600,SRB,1,0.043947711437747006,0.08789542287549401,0.21973855718873503
FALSE,FALSE,1600,SRB,10,0.14083817352747852,0.28167634705495703,0.5281431507280444
