metric,juniors,rating_floor,fed,yP,yPEA,E,A,weights
top10,TRUE,1000,JOR,230.48234099999996,149.98626369220995,136.70000000000002,12.3,1.2066572120405055e-4
top10,TRUE,1000,KAZ,37.07095699999999,-14.062437495446233,-19.80000000000001,8.3,3.0042047296810796e-4
top10,TRUE,1000,KEN,326.44676600000014,209.20725870931255,48.900000000000006,18.599999999999998,2.9041391054220115e-4
top10,TRUE,1000,KGZ,221.7493960000001,148.9116612768804,86.4,11.299999999999997,9.329669799599238e-5
top10,TRUE,1000,KOR,283.95924,247.59369954217055,96.1,5.400000000000002,7.5404995419536e-5
top10,TRUE,1000,LAT,155.26256599999974,131.46071191919364,421,1.9000000000000057,2.1894332085109177e-4
top10,TRUE,1000,LTU,106.38300899999999,114.7138079808018,254.7,-2.5,2.174155066017138e-4
top10,TRUE,1000,MAS,164.44362400000014,98.67775105953328,-9,10.599999999999998,1.9431590718522475e-4
top10,TRUE,1000,MDA,191.7944339999999,160.43931227653658,248.5,3.8999999999999986,1.4484271432967834e-4
top10,TRUE,1000,MEX,233.85508799999997,166.99104800529923,-36.10000000000002,10.899999999999999,4.034999664258991e-4
top10,TRUE,1000,MGL,143.4856959999999,118.79072888843017,-7.699999999999989,4,3.680096194745037e-4
top10,TRUE,1000,NED,65.1499399999999,57.97643551898175,361.90000000000003,-0.5,4.473709658690456e-4
top10,TRUE,1000,NEP,274.22296099999977,239.0991965220806,227.7,4.600000000000001,3.3583166167955135e-4
top10,TRUE,1000,NOR,96.63809800000001,124.91958521505681,232.09999999999997,-5.600000000000001,1.9817585036423108e-4
top10,TRUE,1000,PER,292.178067,215.33888277864912,95.69999999999999,11.899999999999999,1.505132493120905e-4
top10,TRUE,1000,PHI,275.07536200000027,196.86883840467112,143.79999999999998,11.900000000000002,4.955337628547932e-4
top10,TRUE,1000,POL,167.5414309999999,135.42347597781313,-9.5,5.200000000000003,5.574627226277907e-4
top10,TRUE,1000,POR,173.71908900000005,79.51950706313598,70.99999999999997,14.8,2.2395796839101063e-4
top10,TRUE,1000,ROU,125.88069200000027,105.76973841261633,159.7,2.5,4.760110173512971e-4
top10,TRUE,1000,RSA,267.42261899999994,229.7232620427601,99.20000000000002,5.599999999999998,1.9664431152825452e-4
top10,TRUE,1000,RUS,172.75338000000016,160.58042780926598,-31.899999999999977,2.099999999999998,0.0010562541282596013
top10,TRUE,1000,SGP,188.5572949999999,101.58573366156295,167.3,13.2,6.940838314780738e-5
top10,TRUE,1000,SLO,118.62049500000018,34.83579169360277,-142,14.100000000000001,3.583639827429287e-4
top10,TRUE,1000,SRB,91.76384099999981,87.76357058626175,96.89999999999998,0.19999999999999574,7.423407612427785e-4
top10,TRUE,1000,SRI,235.2860350000002,200.26176507112314,224.2,4.599999999999998,2.703904661265793e-4
top10,TRUE,1000,SUI,104.06896300000028,71.00752588373766,45.60000000000002,5.099999999999994,3.5227303996544204e-4
top10,TRUE,1000,SVK,26.964384000000194,36.33708554925835,327.59999999999997,-3,4.550339467022613e-4
top10,TRUE,1000,SWE,96.80500699999993,77.38571416647792,201.09999999999997,2.200000000000003,3.743453542369501e-4
top10,TRUE,1000,THA,372.9479149999999,358.2424106319178,79.10000000000001,2,1.289564332512017e-4
top10,TRUE,1000,TUR,166.26399200000037,129.8813953337637,96.70000000000005,5.399999999999999,3.357341378947039e-4
top10,TRUE,1000,UAE,496.61763500000006,428.0562074976583,1.6999999999999886,11,5.08712317898593e-5
top10,TRUE,1000,UKR,150.16989899999993,119.54867877046188,47.40000000000009,4.699999999999999,6.560105184603719e-4
top10,TRUE,1000,USA,134.451615,104.68811129008667,170.60000000000002,4,3.6479293520133045e-4
top10,TRUE,1000,UZB,180.54874299999963,166.91582137354055,107.10000000000002,1.6999999999999993,1.6054098800924192e-4
top10,TRUE,1000,VEN,213.1766189999999,194.87823483192142,227.4,1.8999999999999986,2.9984746235931674e-4
top10,TRUE,1000,VIE,172.05514499999998,166.79212562188158,97.5,0.3999999999999986,2.0813604192631188e-4
top10,TRUE,1000,ZAM,370.03758500000026,319.9071795667633,120.19999999999999,7.5000000000000036,0.00030814329574137056
top10,TRUE,1000,ZIM,412.2166090000003,355.9370406550082,95.5,8.600000000000001,1.7072765342229427e-4
top10,TRUE,1400,ARG,53.30462100000028,55.14925644730679,144.7,1.5,2.4017723497701457e-4
top10,TRUE,1400,ARM,155.03494300000017,154.6313068960521,203,3.1000000000000014,2.237104689893121e-4
top10,TRUE,1400,AUS,25.60223099999996,60.40923282298175,279.6,-7.5,1.558364862555677e-4
top10,TRUE,1400,AUT,74.01364199999972,39.46776207193801,68.59999999999997,12.5,5.26104754390291e-4
top10,TRUE,1400,AZE,118.84715100000028,99.77618665367673,78.90000000000003,7.5,2.1647707390743954e-4
top10,TRUE,1400,BEL,152.89999899999992,129.04125126643345,209.4,11,3.2811704169868314e-4
top10,TRUE,1400,BLR,155.63892899999973,148.1125518999512,355.59999999999997,7.700000000000003,1.6725890797030925e-4
top10,TRUE,1400,BOL,131.0616909999999,110.89996769534022,-14.400000000000006,6.5,1.7129260935042166e-4
top10,TRUE,1400,BRA,223.73334299999993,196.34530013643038,53.69999999999999,9.899999999999999,3.380112696191091e-4
top10,TRUE,1400,BUL,65.7866249999999,40.42913122835607,45.19999999999999,9.100000000000001,3.3103976699769576e-4
top10,TRUE,1400,CAN,36.9082439999998,3.8736324219589235,144.09999999999997,13.100000000000001,1.9907871316132458e-4
top10,TRUE,1400,CHI,176.58209899999991,171.86234187037866,200.50000000000003,4.5,2.557682407304375e-4
top10,TRUE,1400,CHN,117.402269,103.33833045915534,15,4.900000000000002,3.853246372467958e-4
top10,TRUE,1400,COL,140.71307399999972,127.84085086434284,110.60000000000002,5.900000000000002,3.8443702814519847e-4
top10,TRUE,1400,CRO,116.79148599999974,122.46828591786429,307.3,2.5999999999999943,4.111315963992782e-4
top10,TRUE,1400,CUB,223.0520439999999,223.0197597310245,156.70000000000005,2.3000000000000007,6.922093265518083e-4
top10,TRUE,1400,CZE,109.53073600000016,103.26216280199736,254.19999999999993,5.800000000000004,4.8371434088881267e-4
top10,TRUE,1400,DEN,12.20669600000025,25.946007830085094,189.79999999999995,-1.8000000000000043,2.794276512103193e-4
top10,TRUE,1400,ECU,174.124972,139.26964822401922,-6.900000000000006,11.5,1.1873582589892391e-4
top10,TRUE,1400,EGY,153.17399800000015,123.0530811098063,183.1,12.700000000000003,2.5662488044747567e-4
top10,TRUE,1400,ENG,100.21291699999972,82.3251173557966,112.70000000000002,7.600000000000001,2.7953811108047936e-4
top10,TRUE,1400,ESP,107.63390399999972,115.14836627341982,95.89999999999998,-1.1000000000000014,5.685873392525618e-4
top10,TRUE,1400,FRA,95.69060799999983,113.05844254710398,156.10000000000002,-3.5,5.106815955549299e-4
