juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,median,FRA,ptmean,-0.40658799999999995
FALSE,FALSE,1000,median,FRA,ptsd,18.323004173189997
FALSE,FALSE,1000,median,GEO,obs,222
FALSE,FALSE,1000,median,GEO,ptpval,0.010124
FALSE,FALSE,1000,median,GEO,ptmean,-2.5340214999999997
FALSE,FALSE,1000,median,GEO,ptsd,95.18487153139046
FALSE,FALSE,1000,median,GER,obs,-159.5
FALSE,FALSE,1000,median,GER,ptpval,1
FALSE,FALSE,1000,median,GER,ptmean,0.744067
FALSE,FALSE,1000,median,GER,ptsd,15.957366510081071
FALSE,FALSE,1000,median,GRE,obs,-142
FALSE,FALSE,1000,median,GRE,ptpval,0.999437
FALSE,FALSE,1000,median,GRE,ptmean,-1.1177809999999995
FALSE,FALSE,1000,median,GRE,ptsd,39.27938768624501
FALSE,FALSE,1000,median,HUN,obs,-2
FALSE,FALSE,1000,median,HUN,ptpval,0.530626
FALSE,FALSE,1000,median,HUN,ptmean,0.7379310000000002
FALSE,FALSE,1000,median,HUN,ptsd,34.95880946138753
FALSE,FALSE,1000,median,IND,obs,12
FALSE,FALSE,1000,median,IND,ptpval,0.284533
FALSE,FALSE,1000,median,IND,ptmean,0.3527755000000001
FALSE,FALSE,1000,median,IND,ptsd,21.649380427445784
FALSE,FALSE,1000,median,IRI,obs,-158
FALSE,FALSE,1000,median,IRI,ptpval,1
FALSE,FALSE,1000,median,IRI,ptmean,-0.45013849999999994
FALSE,FALSE,1000,median,IRI,ptsd,25.52910714882386
FALSE,FALSE,1000,median,ISR,obs,37
FALSE,FALSE,1000,median,ISR,ptpval,0.322984
FALSE,FALSE,1000,median,ISR,ptmean,-1.5187405
FALSE,FALSE,1000,median,ISR,ptsd,72.71522327922371
FALSE,FALSE,1000,median,ITA,obs,-232
FALSE,FALSE,1000,median,ITA,ptpval,1
FALSE,FALSE,1000,median,ITA,ptmean,0.5252764999999998
FALSE,FALSE,1000,median,ITA,ptsd,40.281986811563925
FALSE,FALSE,1000,median,KAZ,obs,53
FALSE,FALSE,1000,median,KAZ,ptpval,0.262742
FALSE,FALSE,1000,median,KAZ,ptmean,-6.7041345
FALSE,FALSE,1000,median,KAZ,ptsd,85.64363740925846
FALSE,FALSE,1000,median,KOR,obs,-405
FALSE,FALSE,1000,median,KOR,ptpval,1
FALSE,FALSE,1000,median,KOR,ptmean,-5.433073
FALSE,FALSE,1000,median,KOR,ptsd,75.30176176645533
FALSE,FALSE,1000,median,LAT,obs,84
FALSE,FALSE,1000,median,LAT,ptpval,0.189474
FALSE,FALSE,1000,median,LAT,ptmean,7.415406
FALSE,FALSE,1000,median,LAT,ptsd,78.67026442605663
FALSE,FALSE,1000,median,LTU,obs,-21
FALSE,FALSE,1000,median,LTU,ptpval,0.575183
FALSE,FALSE,1000,median,LTU,ptmean,6.999230999999999
FALSE,FALSE,1000,median,LTU,ptsd,75.53249443495399
FALSE,FALSE,1000,median,MEX,obs,-178.5
FALSE,FALSE,1000,median,MEX,ptpval,0.999993
FALSE,FALSE,1000,median,MEX,ptmean,-2.706779
FALSE,FALSE,1000,median,MEX,ptsd,34.91866737518044
FALSE,FALSE,1000,median,NED,obs,-114
FALSE,FALSE,1000,median,NED,ptpval,0.999844
FALSE,FALSE,1000,median,NED,ptmean,-0.499289
FALSE,FALSE,1000,median,NED,ptsd,29.901916947231264
FALSE,FALSE,1000,median,NOR,obs,-79.5
FALSE,FALSE,1000,median,NOR,ptpval,0.926312
FALSE,FALSE,1000,median,NOR,ptmean,1.9452495
FALSE,FALSE,1000,median,NOR,ptsd,58.36757824689098
FALSE,FALSE,1000,median,PHI,obs,-196
FALSE,FALSE,1000,median,PHI,ptpval,0.997406
FALSE,FALSE,1000,median,PHI,ptmean,-1.3325145000000007
FALSE,FALSE,1000,median,PHI,ptsd,73.58455681761149
FALSE,FALSE,1000,median,POL,obs,0
