metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,FALSE,TRUE,1600,BIH,160.834512,154.56019376702125,381,-23,9.314352330447652e-5
top1,FALSE,TRUE,1600,BLR,208.51004,212.30452153820508,382,1,1.505667180526337e-4
top1,FALSE,TRUE,1600,BRA,228.21655800000002,230.59341691482533,269,0,1.361311208483189e-4
top1,FALSE,TRUE,1600,BUL,71.71725900000001,71.04356844948728,-266,4,5.6108504741553877e-5
top1,FALSE,TRUE,1600,CAN,191.668223,196.8727614293759,-170,16,1.2668748110497018e-4
top1,FALSE,TRUE,1600,CHI,305.748295,305.91058377809907,303,-6,9.053698196417743e-5
top1,FALSE,TRUE,1600,CHN,99.27350899999999,102.0027233658008,214,2,2.1735624428622779e-4
top1,FALSE,TRUE,1600,COL,191.292587,195.1103338017838,100,7,2.5832776959930847e-4
top1,FALSE,TRUE,1600,CRO,155.795052,163.47237414387578,774,2,1.4064746880534866e-4
top1,FALSE,TRUE,1600,CUB,174.9912,182.0743547540821,517,6,2.163408479617329e-4
top1,FALSE,TRUE,1600,CZE,98.842096,104.24687420385345,754,-3,1.1064653992509915e-4
top1,FALSE,TRUE,1600,DEN,172.964647,164.35440692926778,-168,-17,7.59574429429833e-5
top1,FALSE,TRUE,1600,ECU,53.316203,59.455631638355726,173,11,1.320249634984135e-4
top1,FALSE,TRUE,1600,EGY,112.819053,118.68564934809928,237,9,6.515694726924319e-5
top1,FALSE,TRUE,1600,ENG,105.55131800000001,112.57649895078598,463,7,9.150397079294683e-5
top1,FALSE,TRUE,1600,ESP,94.680116,96.67919256249711,416,-4,1.5279741625407115e-4
top1,FALSE,TRUE,1600,EST,152.142205,164.13335489800465,266,23,2.884315174748287e-4
top1,FALSE,TRUE,1600,FRA,120.54230000000001,123.28359272920837,500,-4,9.126642775052408e-5
top1,FALSE,TRUE,1600,GEO,123.299954,125.30958237539946,180,1,1.9786083871523044e-4
top1,FALSE,TRUE,1600,GER,100.84255,104.19091292532899,-48,9,3.0423604260962453e-4
top1,FALSE,TRUE,1600,GRE,43.838211,48.48653303596067,194,7,1.1838775804165956e-4
top1,FALSE,TRUE,1600,HUN,-72.80615,-75.88790917242693,600,-20,1.1782644205123956e-4
top1,FALSE,TRUE,1600,INA,44.171746999999996,50.55877038291008,-558,27,1.487283566006467e-4
top1,FALSE,TRUE,1600,IND,37.77463900000001,47.09562915438703,201,18,1.2436871283918674e-4
top1,FALSE,TRUE,1600,IRI,-56.132587,-54.286963308855434,114,2,1.1308918735718821e-4
top1,FALSE,TRUE,1600,ISR,191.619384,201.3425025891809,-133,26,1.4065287885885354e-4
